Rk_off,School,Pts_off,Cmp_off,PAtt,Pct_off,PYds,PTD_off,Ratt_off,Ryds_off,Avg_off,RTD_off,Plays_off,Yds_off,Avg.1_off,PFD_off,RFD_off,Rk_def,Pts_def,Cmp_def,Patt,Pct_def,Pyds,PTD_def,Ratt_def,Ryds_def,Avg_def,RTD_def,Plays_def,Yds_def,Avg.1_def,PFD_def,RFD_def,Rk,W,L,OSRS,DSRS,TSRS,Off,PYPA,RYPA
43,cincinnati,30.3,17.3,28.1,61.6,231.2,2.3,30.9,176.1,5.7,1.5,59,407.3,6.9,9.9,8.8,74,25.6,20,29.9,66.8,220.5,1.5,41.3,178.8,4.3,1.5,71.2,399.2,5.6,9.2,11,56,7,6,3,0.66,3.65,48.61,10.04,7.24
44,missouri,30.2,17.6,27.8,63.3,188,1.2,42.9,228.3,5.3,2.4,70.8,416.3,5.9,9.6,11.5,17,18.9,16.5,29.2,56.7,173.5,1.2,32.2,103.8,3.2,0.9,61.3,277.3,4.5,7.8,5.8,32,8,5,1.62,7.33,8.96,48.49,8.37,7.08
45,north carolina state,30.2,21.5,31.8,67.8,245.7,2,32.8,145.5,4.4,2.1,64.5,391.2,6.1,11.2,7,83,27.2,22.7,36.2,62.8,273.2,1.7,32.2,138.8,4.3,1.3,68.3,411.9,6,12.2,7.1,35,8,5,6.7,1.43,8.13,50.41,9.74,6.49
46,boise state,29.9,19.6,33.7,58.1,244.9,1.6,39.6,179.1,4.5,2.1,73.4,424,5.8,10.9,9.3,61,24.1,15.5,28.5,54.4,175.6,1.2,33.8,162.1,4.8,1.8,62.3,337.6,5.4,6.9,7.5,55,9,5,2.12,1.57,3.69,44.55,8.83,5.71
47,louisville,29.9,20.6,32.2,64.1,220.6,1.4,32.4,163.9,5.1,1.9,64.5,384.5,6,9.6,8.5,38,21.2,18.6,31.5,59.2,188.8,1.2,32.8,114.3,3.5,1,64.3,303.1,4.7,8.5,6.8,28,9,4,5.38,3.86,9.23,49.04,8.74,7.02
48,air force,29.8,8.1,13.7,59.1,145.2,1.1,54.5,261.4,4.8,2.8,68.2,406.6,6,5.9,14.8,108,30.3,19.5,28,69.6,264.7,1.4,30.6,158.5,5.2,2.3,58.6,423.2,7.2,11.1,8.3,103,4,8,1.61,-7.96,-6.35,43.08,12.01,5.71
49,alabama,29.5,22.9,34.9,65.6,263.5,2.1,31.1,104.1,3.4,1.4,65.9,367.7,5.6,12.7,5.7,20,19.2,16.4,26.4,62.1,169.9,1.1,33.9,126.9,3.7,1.1,60.3,296.8,4.9,7.4,7,15,11,4,5.53,7.77,13.3,53.35,9.78,5.75
50,florida atlantic,29.5,32.1,48.5,66.2,340.2,2.3,29.7,104.5,3.5,1.1,78.2,444.7,5.7,15.1,7.3,132,36.3,19.8,30.8,64.3,235.2,1.7,42.3,201.3,4.8,2.9,73.2,436.5,6,10.3,10.7,109,4,8,1.85,-9.24,-7.39,43.07,8.08,4.82
51,western kentucky,29.5,25,38.1,65.7,272.2,1.6,31.8,134.5,4.2,1.8,69.9,406.7,5.8,12.6,7.3,49,22.8,19.8,35.8,55.2,224.2,0.9,35.8,176.5,4.9,1.1,71.7,400.8,5.6,10,7.4,89,9,4,0.36,-3.25,-2.89,40.14,8.1,5.16
52,illinois,29.4,19.3,28.6,67.5,235.8,1.8,35.2,138.1,3.9,1.6,63.8,373.8,5.9,10.4,8.5,56,23.6,21,33,63.6,218.4,1.5,32.1,126.5,3.9,1.3,65.1,344.9,5.3,11.9,7,19,9,4,5.56,6.23,11.79,50.74,10.15,5.49
53,kansas state,29.4,17,28.6,59.5,198.8,1.5,33.7,171.3,5.1,1.9,62.3,370.1,5.9,8.4,7.9,79,26.7,18.5,32.6,56.8,222.4,1.2,40.3,163.8,4.1,1.9,72.9,386.2,5.3,9.2,9.9,49,6,6,7.23,-2.17,5.06,48.34,8.9,6.72
54,iowa,29.3,13.8,22,62.9,143.2,0.9,38.8,176.9,4.6,2.2,60.8,320.1,5.3,7.1,9.2,8,16.1,16.5,28.6,57.8,172.7,0.7,31.2,107.7,3.4,0.9,59.8,280.4,4.7,7.6,6.5,14,9,4,4.06,9.8,13.86,49.35,8.36,6.01
55,houston,29.1,18.6,29,64.2,216.4,2,42.2,178.1,4.2,1.3,71.2,394.5,5.5,10,8.8,47,22.8,18.7,31,60.3,218.8,1.2,34.8,129,3.7,1.3,65.8,347.8,5.3,8.6,8.5,38,10,3,6.84,0.44,7.29,46.57,9.21,6.02
56,delaware,29,25.9,41.5,62.4,292.5,1.8,31.5,119.2,3.8,1.5,73,411.6,5.6,12.5,7.9,116,31,20.4,32.9,61.9,245.6,1.6,34.9,159.7,4.6,1.9,67.8,405.3,6,11.7,7.4,110,7,6,0.36,-8.52,-8.16,38.84,8.04,4.45
57,hawaii,29,26.9,41.5,64.8,290.6,2.3,28.7,103.2,3.6,0.6,70.2,393.8,5.6,13.4,5.4,62,24.1,18,30.3,59.4,227.2,1.2,32.2,133.8,4.2,1.5,62.5,361,5.8,9.7,7.1,73,9,4,1.43,-1.61,-0.17,41.87,8.41,4.43
58,southern mississippi,28.8,22.2,34.9,63.7,266.1,2,36.2,136,3.8,1.4,71.1,402.1,5.7,10.8,7.9,86,27.4,20.9,33,63.4,229.2,1,41.8,174.8,4.2,2.4,74.8,404.1,5.4,10.1,10.4,93,7,6,-0.31,-4.33,-4.64,38.71,8.5,4.49
59,nebraska,28.7,20,29.1,68.8,224.6,1.8,34.7,145.9,4.2,1.5,63.8,370.5,5.8,10.1,8.9,67,24.6,14.1,24.2,58.3,154.1,0.7,36.4,175.4,4.8,2.3,60.5,329.5,5.4,6.4,9.7,64,7,6,1.04,1.18,2.22,48.48,9.81,5.65
60,rutgers,28.7,19.5,31.6,61.7,266.1,1.8,38.8,141,3.6,1.6,70.4,407.1,5.8,11.8,9.8,118,31.8,17,26,65.4,222.9,1.9,30.9,209.9,6.8,2.1,56.9,432.8,7.6,9.9,9,61,5,7,5.92,-3.45,2.46,50.54,10.69,5.37
61,florida international,28.5,19.8,33,59.9,215.4,1.5,37.3,181.6,4.9,2,70.3,397,5.6,10.4,8,105,30,21.4,35.2,60.7,249.9,2,34.3,161.6,4.7,1.5,69.5,411.5,5.9,10.5,9,105,7,6,-3.32,-3.36,-6.68,37.94,7.39,5.52
62,jacksonville state,28.1,13.9,23.4,59.5,162,0.9,46.5,246.8,5.3,2.3,69.9,408.8,5.8,7.1,12.4,71,25.2,19.5,31.9,61.2,234.5,1.4,36.1,144.3,4,1.6,68,378.8,5.6,10,8.8,94,9,5,-0.82,-3.92,-4.74,37.16,7.74,5.92
63,kansas,28.1,17.6,28.8,61.2,222.3,1.9,35.8,168.3,4.7,1.4,64.6,390.5,6,10.3,9.2,80,26.8,18.9,29.6,63.9,214.1,1.6,36.5,173.1,4.7,1.6,66.1,387.2,5.9,9.4,8.9,59,5,7,4.81,-1.93,2.88,47.96,9.85,6.57
64,wake forest,28.1,17.8,31.2,57.1,237.7,1.4,34.9,156.2,4.5,1.8,66.2,393.8,6,9.2,8.5,45,22.1,20.8,35.2,59.1,206.9,0.9,35.9,121.6,3.4,1.4,71.1,328.5,4.6,8.8,7.2,47,9,4,1.41,4.64,6.04,43.76,8.98,5.86
65,georgia southern,27.9,20.9,33.2,63,247.4,2,35.6,154.2,4.3,1.4,68.8,401.5,5.8,11.3,8.5,120,32.3,20.3,31.9,63.6,240.5,1.2,38.5,218.1,5.7,2.7,70.4,458.5,6.5,11.9,11.2,99,7,6,1.44,-6.88,-5.44,39.88,8.59,5.6
66,ohio,27.8,14.8,24,61.5,184.2,1.1,42.9,227.4,5.3,2.5,66.9,411.5,6.1,9,11.1,42,21.9,17.8,27.7,64.2,208.1,1.5,33,144,4.4,1.2,60.7,352.1,5.8,8.8,8.4,83,9,4,0.19,-1.9,-1.71,40.37,8.84,6.18
67,temple,27.8,17.8,28.9,61.7,197.4,2.3,33.6,147.4,4.4,1.1,62.5,344.8,5.5,9.6,7.6,100,29.7,15.8,25.8,61.2,199.5,1.5,39.4,197.3,5,2.3,65.2,396.8,6.1,8.5,10,98,5,7,-0.8,-4.59,-5.39,42.35,8.18,5.71
68,tulane,27.7,18.7,30.4,61.6,245.1,1.3,36.8,166.3,4.5,1.9,67.1,411.4,6.1,11.8,8.4,59,23.9,23.1,34.1,67.6,261.6,1.6,34.3,122.6,3.6,1.3,68.4,384.2,5.6,11.6,8.3,43,11,3,1.49,5.23,6.72,42.86,9.65,5.76
69,michigan,27.5,15.5,26.2,59.4,186.8,0.8,38.6,210.2,5.4,2.5,64.8,396.9,6.1,8.7,10.3,29,20.4,20.8,32.8,63.6,211.4,1.3,32.8,111.9,3.4,1.1,65.6,323.3,4.9,9.8,6.8,22,9,4,4.97,6.06,11.03,50.87,9.4,7.46
70,iowa state,27.4,17.5,28.9,60.5,221.4,1.3,39.8,174.7,4.4,1.9,68.8,396.1,5.8,9.9,9.5,26,20.2,19.8,32.3,61.2,218.5,1.2,31.1,138,4.4,1.2,63.3,356.5,5.6,9.6,6.8,33,8,4,3.15,5.72,8.86,45.92,9.47,6.04
71,louisiana tech,27.3,15,24.1,62.3,163.8,0.6,41.4,195.4,4.7,2.2,65.5,359.2,5.5,6.8,10.2,35,20.8,20.5,37.2,55,240.3,1.5,32,134.5,4.2,1,69.2,374.8,5.4,10.4,7.4,90,8,5,-3,-0.11,-3.11,37.69,7.94,5.45
72,clemson,27.2,23.8,36.5,65.1,267.8,1.7,31.5,124.5,3.9,1.5,68.1,392.2,5.8,11.8,7.5,30,20.5,22.6,37.2,60.7,251.2,1.4,29.8,105.5,3.5,0.8,67,356.7,5.3,10.5,6.8,44,7,6,2.25,4.17,6.42,45.52,9.1,5.43
73,new mexico,27.1,17.5,26.9,64.9,204.8,1.3,36,152.1,4.2,1.7,62.9,356.8,5.7,8.8,8.3,46,22.3,21.7,31.7,68.4,229.2,1.5,33.4,112.8,3.4,1.1,65.1,341.9,5.3,9.9,7.8,68,9,4,0.91,-0.24,0.67,40.54,9.07,5.17
74,auburn,26.8,18.4,30.2,61,197.1,0.9,37.8,176.8,4.7,1.9,68,373.9,5.5,8.9,10.2,34,20.7,19.8,31.8,62.5,229.8,1.3,34.8,99.3,2.9,1,66.5,329.2,4.9,11.2,5.3,42,5,7,0.31,6.53,6.84,45.76,8.44,6.53
75,kennesaw state,26.7,18.6,30.2,61.5,243.1,1.9,38.8,159.4,4.1,1.4,69,402.4,5.8,9.8,9.8,73,25.5,18.4,30.1,61,220.1,1.4,39.7,184.6,4.6,1.8,69.8,404.6,5.8,9.9,9.1,82,10,4,0.18,-1.52,-1.34,39.36,9.31,5.17
76,south alabama,26.5,17.7,25.8,68.4,181.2,1.1,44.3,199.7,4.5,2.5,70.1,380.8,5.4,8,11,110,30.4,17.3,28.3,60.9,205,1.6,37,176.6,4.8,2.1,65.3,381.6,5.8,8.7,9.8,112,4,8,-0.95,-8.18,-9.12,37.42,7.97,5.63
77,san diego state,26.4,12.8,22.2,57.4,157.7,0.8,42.4,198.7,4.7,1.9,64.6,356.4,5.5,6.5,10.3,6,15.4,17.2,32.1,53.5,164.2,1.1,35.2,129.5,3.7,0.7,67.3,293.7,4.4,7.8,6.8,57,9,4,-2.79,6.26,3.48,40.31,8.83,5.7
78,uab,26.4,23.9,36.4,65.7,265.6,1.7,33,138.7,4.2,1.7,69.4,404.3,5.8,12.5,7.8,135,38.3,15.8,23.8,66.1,232.3,2.3,41.3,191.1,4.6,2.6,65.1,423.3,6.5,9.4,10.1,119,4,8,-0.66,-10.96,-11.62,38.83,8.57,5.32
79,oklahoma,26.2,20.4,33.2,61.5,235.8,1.3,33.5,118.5,3.5,1.4,66.6,354.3,5.3,10.7,6.5,7,15.5,18.5,31.3,59,195.2,0.8,32.3,77.3,2.4,0.5,63.6,272.5,4.3,8.4,4.3,16,10,3,1.65,11.53,13.18,46.62,9.32,5.46
80,louisiana,26,14.4,26.4,54.5,161.9,0.9,39.6,183.2,4.6,2,66,345.2,5.2,7.2,8.6,96,29.2,19.4,29.2,66.5,224.1,1.4,39.7,186.7,4.7,1.9,68.8,410.8,6,9.3,11,106,6,7,-1.14,-5.8,-6.94,36.73,7.05,5.77
81,arizona state,25.8,19.3,33.1,58.4,223.7,1.5,38.3,193.6,5.1,1.4,71.4,417.3,5.8,9.5,9.4,65,24.5,21.3,35.3,60.3,233.5,1.5,34.4,124,3.6,1.5,69.7,357.5,5.1,10,7.4,37,8,5,3.19,4.51,7.69,43.3,8.52,6.69
82,fresno state,25.8,18.4,28.7,64.1,183.4,1.1,37.5,170.5,4.5,1.7,66.2,353.8,5.3,8.9,8.3,16,18.8,15.2,28.3,53.8,153.8,1.4,32.5,131.9,4.1,0.7,60.8,285.7,4.7,7.2,7.2,75,9,4,-3.64,2.82,-0.82,38.68,7.82,5.45
83,liberty,25.6,14.5,26.3,55.1,195.5,0.9,42.3,194,4.6,2.1,68.7,389.5,5.7,8.8,10.2,76,26.5,16.9,29.2,58,196.8,1.4,37.9,179.1,4.7,1.9,67.1,375.8,5.6,8.9,9.7,108,4,8,-2.06,-5.27,-7.33,36.87,8.57,5.58
84,missouri state,25.6,21.3,33.5,63.7,279.7,2.3,32.1,112.5,3.5,0.9,65.5,392.2,6,11.4,6.6,91,28.8,20.4,31.8,64.2,229.5,1.5,33,153.3,4.6,2,64.8,382.8,5.9,10.5,7.7,97,7,6,-2.22,-3.12,-5.34,37.04,9.4,4.39
85,boston college,25.4,23.9,37.8,63.2,280.2,1.7,31.4,103.9,3.3,1.3,69.3,384.1,5.5,12.4,6.8,123,32.8,20,31.2,64.2,255.7,1.9,35.3,177.6,5,2.1,66.4,433.3,6.5,10.9,8,101,2,10,-1.65,-4,-5.64,43.21,9.34,4.86
86,california,25.3,24.8,38.9,63.8,275.9,1.5,29.6,81.7,2.8,1.6,68.5,357.6,5.2,13,4.8,82,27.2,19.9,32.3,61.7,205.2,1.1,33.2,156.6,4.7,1.8,65.5,361.8,5.5,9,8.7,76,7,6,1.29,-2.19,-0.9,42.22,8.71,4.28
87,arkansas state,25.2,25.8,39.2,65.8,259.5,1.5,34.5,123.2,3.6,1.1,73.6,382.7,5.2,12.2,7.2,85,27.4,20.6,30.2,68.4,244.9,1.6,38.1,168.4,4.4,1.8,68.2,413.3,6.1,10.8,8.8,95,7,6,-2.22,-2.76,-4.98,35.35,7.5,4.38
88,western michigan,24.9,13.2,21.8,60.7,138.5,0.7,44.5,204.2,4.6,2.2,66.3,342.7,5.2,6.3,11.2,9,17.4,15.4,27.9,55.4,179.9,1,33.5,125.6,3.7,1.1,61.4,305.5,5,8.1,6.8,69,10,4,-4.5,4.96,0.46,37.24,7.64,5.55
89,michigan state,24.6,20,31.5,63.5,222.7,1.7,32.5,122.8,3.8,1.3,64,345.5,5.4,9.6,7.1,104,29.9,20.2,30.6,65.9,231.3,1.9,32.8,147.3,4.5,1.8,63.4,378.7,6,9.8,8.3,78,4,8,3.65,-4.6,-0.95,45.81,9.35,5.33
